name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Бизнес-аналитик,"<strong>Обязанности:</strong> <ul> <li>Проведение интервью сотрудников Компании.</li> <li>Определение границ бизнес-процесса и владельца процесса.</li> <li>Анализ запроса на разработку/актуализацию нормативной документации.</li> <li>Подготовка предложения по разработке/актуализации нормативной документации.</li> <li>Разработка модели бизнес-процесса («as is» и «to be»).</li> <li>Проведение анализа бизнес-процессов и подготовка предложений по их оптимизации и/или автоматизации.</li> <li>Определение причин неэффективности бизнес-процесса;</li> <li>Разработка предложений по повышению эффективности бизнес-процесса;</li> <li>Подготовка рекомендаций по внедрению оптимизированных бизнес-процессов;</li> <li>Тестирование и контроль процесса внедрения изменений в информационные системы.</li> <li>Моделирование, анализ и оптимизация бизнес-процесса с использованием Business Studio (IDEF0, BPMN2.0. и EPC).</li> <li>Разработка и корректировка регламентирующих документов.</li> <li>Разработка и корректировка локально-нормативных документов.</li> <li>Сбор и разработка функциональных требований к информационной системе.</li> <li>Сбор требований и разработка технического задания на автоматизацию бизнес-процессов.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование высшее.</li> <li>Знание принципов процессного подхода.</li> <li>Навыки моделирование бизнес-процессов в нотациях: IDEF0, BPMN2.0. и EPC.</li> <li>Знание Business Studio (IDEF0, BPMN2.0. и EPC).</li> <li>Опыт работы бизнес-аналитиком (не менее 5- лет).</li> <li>Опыт выделения бизнес-процессов, определение их границ и владельцев.</li> <li>Опыт проведения интервью с руководителями разного уровня.</li> <li>Разработка сценарной модели процесса</li> <li>Опыт написания нормативных и распорядительных документов (не менее 5- лет).</li> <li>Опыт оптимизации и автоматизации бизнес-процессов.</li> <li>Выявление причины неэффективности бизнес-процесса;</li> <li>Разработка предложений по повышению эффективности бизнес-процесса;</li> <li>Тестирование и контроль внедрения изменений в информационные системы.</li> <li>Опыт написания ФЗ и ТЗ.</li> <li>Опыт написания локально-нормативных документов.</li> <li>Умение работать в команде.</li> <li>Грамотная письменная и устная речь.</li> <li>Личные качества:</li> <li>Энергичность, нацеленность на результат, стрессоустойчивость, аналитический склад ума, коммуникабельность, аккуратность, внимательность, бесконфликтность.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление согласно ТК РФ</li> <li>График работы 5/2</li> <li>Офис рядом с м. Автозаводская или МЦК Зил</li> </ul>","IDEF0
Business Studio
Моделирование бизнес процессов
Оптимизация бизнес-процессов
EPC",between3And6,FALSE,АС Монтаж,,,,,Москва,2022-07-05T18:33:56+0300
Аналитик бизнес-процессов/Операционный директор,"<strong>Обязанности:</strong> <ul> <li>Разработка и реализация стратегии развития всех процессов внутри компании</li> <li>Строительство и моделирование бизнес-процессов</li> <li>Ведение проектов по улучшению бизнес-процессов с целью увеличения прибыли и снижения затрат</li> <li>Автоматизация и цифровизация БП</li> <li>Разработка документации, регламентирующей процессы внутри компании</li> <li>Договорная работа</li> <li>Отчетность на базе 1С</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт выстраивания БП от 3 лет</li> <li>Знание 1С Битрикс 24</li> <li>Аналитический склад ума</li> <li>Амбициозность</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное оформление по ТК РФ</li> <li>5/2 10-19</li> <li>Достойный уровень заработной платы, по результатам собеседования</li> <li>Офис - метро Петроградская</li> </ul>","1С-Битрикс
1С: Документооборот
Стратегическое мышление
Автоматизация процессов
Моделирование бизнес процессов
Оптимизация бизнес процессов",between3And6,FALSE,Индотрейд,,,,,Санкт-Петербург,2022-07-05T18:33:56+0300
Инженер AV (мультимедиа) оборудование,"<p><strong>Обязанности:</strong></p> <ul> <li>Помощь и подбор в формирование технико-коммерческого предложения, согласно ТЗ;</li> <li>Консультация и поддержка отдела продаж и отдела реализации проектов;</li> <li>Участие в предпроектных и проектных обследованиях объектов и сборе исходных данных, пресейл;</li> <li>Общение с техническим персоналом заказчика на стадии пресейла;</li> <li>Взаимодействие с производителями оборудования и программных обеспечений;</li> <li>Участие в реализациях проекта (пусконаладочные работы);</li> <li>Проведение обучений сотрудников компании.</li> </ul> <strong>Требования:</strong> <ul> <li>Релевантный опыт работы!</li> <li>Знание и понимание основных брендов AV оборудования (LG, Samsung, EliteBoard, Crestron, Extron, AV-BOX, Yamaha, L-acoustics, RCF и т.д.);</li> <li>Технический английский - чтение документации (как преимущество)</li> <li>Оперативное принятия решения, работа совместно с product-менеджерами брендов;</li> <li>Навыки работы в программах MS Office, AutoCAD, SketchUp;</li> <li>Создание структурных схем.</li> </ul> <strong>Условия:</strong> <ul> <li>оформление согласно ТК РФ;</li> <li>работа в молодой развивающейся компании;</li> <li>график работы 5/2;</li> <li>уровень зарплаты - по результатам собеседования (зависит от уровня квалификации) стабильные выплаты 2 раза в месяц;</li> <li>возможность повышения квалификации в рамках компании (обучения, тренинги);</li> <li>офис рядом с м. Павелецкая (8 минут).<br /><br />В сопроводительном письме напишете ожидаемый уровень заработной платы.</li> </ul>","Работа в команде
Деловое общение
SketchUp
Взаимодействие с заказчиком
Высокая энергичность
Работа в условиях многозадачности
Консультация
умение работать с программами Word, Excel, Power Point
Инженерные системы",between3And6,FALSE,Умный Век,70000,150000,TRUE,RUR,Москва,2022-07-05T18:33:58+0300
Маркетолог-аналитик,"<ul> <li> <p>Работая на драйве, получать истинное удовольствие от своей работы, ее объемов и результатов;</p> </li> <li> <p>Быть любознательным и постоянно изучать новые направления в маркетинге и способов донесения контента до потребителя;</p> </li> <li> <p>Необходимо будет разработать гибкую и адаптивную маркетинговую стратегию развития компании с 0;</p> </li> <li> <p>С помощью маркетинга различного направления в РСЯ, Яндекс, Google, MyTarget, Vkontakte, Meta(Facebook), Instagram и своевременно генерить заявки от потенциальных клиентов для наших проектных специалистов по активным продажам;</p> </li> <li> <p>Проводить анализ конкурентов;</p> </li> <li> <p>Работать над улучшением показателей маркетингового отдела ROI, LTV и т.д.;</p> </li> <li> <p>Развитие, структуризация и обновление сайта. Оптимизация по SEO;</p> </li> <li> <p>Разрабатывать и обновлять презентации, брендбуки и прайсы;</p> </li> <li> <p>Ежедневно вести проекты по своему направлению в AMO CRM, ставя следующие шаги при достигнутых по ним договоренностям. Готовить отчетность для руководства;</p> </li> <li> <p>Расти в собственном доходе и развиваться в рамках экосистемы ГК Светотехника Востока.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Ты классный, самоорганизованный, живой душой и сердцем человек с горящими глазами и желающий достигнуть тех показателей в жизни, о которых ты только мог мечтать;</p> </li> <li> <p>Легко находишь нестандартные пути решения рабочих вопросов и хочешь развиться до компетентного руководителя отдела маркетинга;</p> </li> <li> <p>Умеешь самостоятельно выстраивать рабочий процесс и нацелен на результат зарабатывания денежной массы, а не на процесс ее получения, стремишься к личному и профессиональному развитию;</p> </li> <li> <p>Имеешь аналитический склад ума и практический опыт в области маркетинга, продолжаешь учиться, например, читаешь развивающие художественную, деловую литературу по своему направлению, смотришь вебинары и т.д.;</p> </li> <li> <p>Знаешь офисный пакет Microsoft и умеешь работать в CRM;</p> </li> <li> <p>Искренне любишь технологии и инновации.</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Получишь неограниченные возможности для своего профессионального, финансового роста и человеческого потенциала;</p> </li> <li> <p>Оплата труда: оклад + премия;</p> </li> <li> <p>Будешь работать в быстро развивающейся российско-китайской компании;</p> </li> <li> <p>Во время испытательного срока к тебе будет прикреплен наставник, который будет тебя вести по плану адаптации в компании, максимально погружая в специфику нашей работы;</p> </li> <li> <p>Оформим тебя в полном соответствии с Трудовым кодексом РФ;</p> </li> <li> <p>Работай эффективно нормировано 5/2 с 9:30 до 17:30 или не нормировано, главное не график работы, а твои результаты, но помни про жизненный баланс;</p> </li> <li> <p>Классный офис в современном бизнес-центре. 10 мин. пешком от м. Румянцево;</p> </li> <li> <p>Кушать будешь в столовой бизнес-центра, либо в нашей уютной комнате приема пищи, но для эффективных сотрудников есть опция работы и в удаленному формате;</p> </li> <li> <p>Полное отсутствие бюрократии, политических интриг и подковерных игр среди сотрудников и руководства;</p> </li> <li> <p>Своевременная выплата заработной платы и бонусов без задержек.</p> </li> </ul>","CRM
Работа с большим объемом информации
Деловое общение
Маркетинговый анализ
MS PowerPoint
Аналитическое мышление
Анализ финансовых показателей
Стратегический анализ
Тайм-менеджмент
Маркетинговые исследования
Маркетинговые коммуникации
Планирование маркетинговых кампаний
Продвижение бренда
Производство рекламных материалов
Участие в профессиональных выставках",between3And6,FALSE,Крупный поставщик Светодиодной продукции.,100000,,FALSE,RUR,Москва,2022-07-05T18:33:58+0300
Инженер технической поддержки,"<ul> <li> <p><strong>RDM</strong><strong> — это:</strong></p> </li> <li>успешный IT- проект, работающий на рынке уже более 10 лет</li> <li>у нас есть собственные офисы в Москве, Санкт-Петербурге, Новосибирске, Омске, Красноярске, Минске;</li> <li>Среди наших клиентов такие проекты как DELMAR, Филадельфия, Пекарни Вольчека, Папа Джонс, Ладожская усадьба, клуб VODA и многие другие</li> <li><strong>в &quot;пандемию&quot; мы запустили новые направления автоматизации и сохранили свои позиции на рынке;</strong></li> <li>в нашей команде реально сделать карьеру и расти профессионально;</li> <li>а еще, мы работаем в офисе, где всегда можно спросить совета у коллеги, обратиться с предложением об улучшении процесса или поработать с железом руками самостоятельно;</li> </ul> <p><strong>Кого мы ищем?</strong></p> <p>В нашу дружную семью требуется стажер на должность инженера первой линии техподдержки, который:</p> <ul> <li>разбирается в ОС Windows на уровне администратора;</li> <li>не боится TCP\IP и обладает базовыми навыками диагностики сети;</li> <li>готов обучаться по мануалам и самостоятельно разбирать материал;</li> <li>знает, как организовать свое время и ценит время других;</li> <li>обладает гибкостью, разноплановостью, свежими идеями и готов их воплощать.</li> </ul> <p><strong>Вашим гарантированным преимуществом будет:</strong></p> <ul> <li>понимание и знание работы ККМ;</li> <li>опыт работы техническим специалистом с r-keeper или iiko;</li> <li>знание SQL и умение читать логи;</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>приём входящих звонков от клиентов;</li> <li>ответы на сообщения в мессенджер клиентам;</li> <li>заведение и ведение заявок в servicedesk;</li> <li>взаимодействие с 2 линии техподдержки;</li> </ul> <p><strong>И на десерт... что мы предлагаем?</strong></p> <ul> <li>достойный уровень заработной платы;</li> <li>интересные задачи и профессиональную самореализацию, самостоятельность в достижении поставленных целей;</li> <li>возможность предлагать и воплощать в жизнь свои идеи по улучшению нашего сервиса;</li> <li>обучение работы с железом, сетевыми протоколами</li> <li>удобный офис с душевой;</li> <li>вкусные и, конечно же, бесплатные обеды;</li> <li>оформление по ТК РФ и соблюдение всех соответствующих норм.</li> </ul>","R-Keeper
iiko
ККМ
MS SQL Server
Администрирование сетевого оборудования
Работа с клиентами",between1And3,FALSE,КОМПАНИЯ РДМ,40000,70000,FALSE,RUR,Санкт-Петербург,2022-07-17T18:34:02+0300
Ведущий инженер-программист ПЛИС,"<strong>Основные задачи:</strong> <ul> <li>Разработка алгоритмов стека протоколов уровня L1 LTE в ПЛИС Xilinx ;</li> <li>Моделирования, тестирование и отладка;</li> <li>Ведение технической документации.</li> </ul> <strong>Сотрудник, которого мы ищем:</strong> <ul> <li>Высшее техническое образование, выпускник МИФИ, МФТИ, МГУ, МАИ, МЭИ, MГТУ и т.д.;</li> <li>Знание алгоритмов цифровой обработки сигналов, применяемых в системах беспроводной связи;</li> <li>Владение в совершенстве VHDL/Verilog;</li> <li>Уверенное пользование Linux;</li> <li>Опыт работы с системами контроля версий (предпочтительно GitLab).</li> </ul> <p><strong>Приветствуется опыт работы с системами:</strong></p> <ul> <li>MPSoC Zynq Ultrascale+;</li> <li>RTL-симуляторами;</li> <li>GitLab, Jira, Confluence;</li> <li>Cocotb/Python для автоматизированного тестирования.</li> </ul> <strong>Мы предлагаем:</strong> <ul> <li>Оформление в соответствии с ТК РФ;</li> <li>Достойная заработная плата, премии по результатам года;</li> <li>Полный рабочий день;</li> <li>Возможность смещения графика прихода в офис (до 12.00);</li> <li>Индивидуальный подход;</li> <li>Оборудованное рабочее место с учетом пожеланий кандидата.</li> </ul>","Python
FPGA
VHDL
Linux
Atlassian Jira",between3And6,FALSE,Синтелс,,,,,Москва,2022-07-17T18:35:01+0300
Продуктовый аналитик Middle,"<p>Контур<strong> </strong>— ведущий разработчик веб-сервисов для бизнеса. Мы создаем решения, которые сохраняют время, деньги и нервные клетки бизнесменам и их сотрудникам по всей стране.</p> <p>В Контуре несколько аналитических отделов и у каждого своя специфика. Наше подразделение заточено под анализ бизнеса под разными углами и ракурсами, в различных разрезах и плоскостях. <em>Центр бизнес-аналитики</em> — подразделение внутри Управления маркетинга, где сотрудники делают оперативную аналитику по каждому этапу жизненного цикла клиента.</p> <p><strong>Основной функционал отдела</strong></p> <ul> <li> <p>Продуктовая и бизнес-аналитика основанная на данных.</p> </li> <li> <p>Прогнозирование и планирование выручки от реализации.</p> </li> <li> <p>Лидогенерация, отчетность и продления.</p> </li> <li> <p>Разработка и поддержка инфраструктуры данных.</p> </li> </ul> <p><strong>Обязанности продуктового аналитика</strong></p> <ul> <li> <p>Анализ плана-факта и определение причин отклонений, выработка рекомендаций.</p> </li> <li> <p>Прогнозирование продаж продуктов в необходимой детализации, оценка точности прогнозов.</p> </li> <li> <p>Анализ рынка по продуктам, закрепленным за аналитиком.</p> </li> <li> <p>Анализ эффективности проводимых маркетинговых мероприятий (предварительный и постанализ).</p> </li> <li> <p>Разработка системы регулярных отчетов и их форм, ответы на разовые запросы по аналитике для продуктов и других бизнес-направлений.</p> </li> <li> <p>Обеспечение корректного учета исходных данных для анализа.</p> </li> </ul> <p><strong>Наши ожидания от кандидатов</strong></p> <ul> <li> <p>Опыт работы аналитиком от 2-х лет.</p> </li> <li> <p><em>Отличные <em>з</em>нания SQL</em>, умение работать с большими массивами данных.</p> </li> <li> <p>Опыт написания скриптов для автоматизации рутинных действий.</p> </li> <li> <p>Опыт разработки форм аналитических отчетов, бюджетирования, прогнозирования, анализа плана-факта продаж и определения причин отклонений.</p> </li> <li> <p>Как преимущество — Python, R, ClickHouse, Power BI.</p> </li> </ul> <p><strong>Что мы предлагаем</strong></p> <ul> <li> <p>Комфортный и современный офис с уютными переговорками, кухней, спортзалом, душем и велопарковкой. Лицензионное ПО и кучу внутренних сервисов, которые избавляют от излишней бюрократии.</p> </li> <li> <p>Неравнодушную команду, где не игнорируют вопросы, а готовы помочь.</p> </li> <li> <p>Возможность развиваться. 81% сотрудников говорят, что у них есть возможности карьерного развития вертикально и горизонтально. В основном развивают задачи и коллеги, но база лекций, возможность участвовать в конференциях и корпоративная библиотека тоже помогут :)</p> </li> </ul> <p> </p> <p>Уровень зарплаты обсуждаем после собеседования, отталкиваясь от ваших ожиданий.</p> <p><br />Если остались вопросы или сомнения, пишите мне на почту или в телеграм.</p>","SQL
Анализ бизнес показателей
Прогнозирование
Планирование
Анализ рынка
Анализ данных
Python
Аналитическое мышление
Power BI
ClickHouse",between3And6,FALSE,Контур,,,,,Казань,2022-07-05T18:35:40+0300
Продуктовый аналитик Middle,"<p>Контур<strong> </strong>— ведущий разработчик веб-сервисов для бизнеса. Мы создаем решения, которые сохраняют время, деньги и нервные клетки бизнесменам и их сотрудникам по всей стране.</p> <p>В Контуре несколько аналитических отделов и у каждого своя специфика. Наше подразделение заточено под анализ бизнеса под разными углами и ракурсами, в различных разрезах и плоскостях. <em>Центр бизнес-аналитики</em> — подразделение внутри Управления маркетинга, где сотрудники делают оперативную аналитику по каждому этапу жизненного цикла клиента.</p> <p><strong>Основной функционал отдела</strong></p> <ul> <li> <p>Продуктовая и бизнес-аналитика основанная на данных.</p> </li> <li> <p>Прогнозирование и планирование выручки от реализации.</p> </li> <li> <p>Лидогенерация, отчетность и продления.</p> </li> <li> <p>Разработка и поддержка инфраструктуры данных.</p> </li> </ul> <p><strong>Обязанности продуктового аналитика</strong></p> <ul> <li> <p>Анализ плана-факта и определение причин отклонений, выработка рекомендаций.</p> </li> <li> <p>Прогнозирование продаж продуктов в необходимой детализации, оценка точности прогнозов.</p> </li> <li> <p>Анализ рынка по продуктам, закрепленным за аналитиком.</p> </li> <li> <p>Анализ эффективности проводимых маркетинговых мероприятий (предварительный и постанализ).</p> </li> <li> <p>Разработка системы регулярных отчетов и их форм, ответы на разовые запросы по аналитике для продуктов и других бизнес-направлений.</p> </li> <li> <p>Обеспечение корректного учета исходных данных для анализа.</p> </li> </ul> <p><strong>Наши ожидания от кандидатов</strong></p> <ul> <li> <p>Опыт работы аналитиком от 2-х лет.</p> </li> <li> <p><em>Отличные <em>з</em>нания SQL</em>, умение работать с большими массивами данных.</p> </li> <li> <p>Опыт написания скриптов для автоматизации рутинных действий.</p> </li> <li> <p>Опыт разработки форм аналитических отчетов, бюджетирования, прогнозирования, анализа плана-факта продаж и определения причин отклонений.</p> </li> <li> <p>Как преимущество — Python, R, ClickHouse, Power BI.</p> </li> </ul> <p><strong>Что мы предлагаем</strong></p> <ul> <li> <p>Комфортный и современный офис с уютными переговорками, кухней, спортзалом, душем и велопарковкой. Лицензионное ПО и кучу внутренних сервисов, которые избавляют от излишней бюрократии.</p> </li> <li> <p>Неравнодушную команду, где не игнорируют вопросы, а готовы помочь.</p> </li> <li> <p>Возможность развиваться. 81% сотрудников говорят, что у них есть возможности карьерного развития вертикально и горизонтально. В основном развивают задачи и коллеги, но база лекций, возможность участвовать в конференциях и корпоративная библиотека тоже помогут :)</p> </li> </ul> <p> </p> <p>Уровень зарплаты обсуждаем после собеседования, отталкиваясь от ваших ожиданий.</p> <p><br />Если остались вопросы или сомнения, пишите мне на почту или в телеграм.</p>","SQL
Анализ бизнес показателей
Прогнозирование
Планирование
Анализ рынка
Анализ данных
Python
Аналитическое мышление
Power BI
ClickHouse",between3And6,FALSE,Контур,,,,,Новосибирск,2022-07-05T18:35:40+0300
Content Writer / English Proofreader (Marketing & Analytics),"<p>We are building the creator economy by providing creators and advertisers with the solution they need to grow, monetize and thrive in the digital advertising space.</p> <p>As<strong> Writer &amp; Proofreader</strong>, you will be responsible for the quality of content across all media. .</p> <p>It&#39;s not a 9-5 job. Although we offer flexible schedules, you&#39;ll be working when your teammates are most likely to answer. Expect to work at least 10 hours per week, including some mornings, evenings and an occasional weekend day.</p> <p><strong>What you’ll do:</strong></p> <ul> <li> <p>Write clear marketing copy</p> </li> <li>Ensures that the final copy match approved job along with assessing design elements</li> <li>Performs line-editing and proofreading, checking for formatting consistency, grammatical accuracy, and spelling errors</li> <li>Checks for adherence to style guides and/or brand-specific style guides</li> </ul> <p> </p> <p><strong>What you’ll bring:</strong></p> <ul> <li>Superior knowledge of the English language, including spelling, grammar, and punctuation</li> <li>5+ years of experience as an editor in a collaborative environment reviewing both interactive and print work</li> <li>Advanced knowledge of writing styles</li> <li>The motivation to work on their own, manage changing priorities, and to meet deadlines</li> <li>Excellent interpersonal skills to build working relationships; ability to negotiate delivery times due to competing deadlines</li> </ul> <p> </p> <p><strong>What you’ll get:</strong></p> <ul> <li>Comprehensive compensation package</li> <li>An entrepreneurial environment with room for growth</li> <li>100% remote work</li> </ul>","Editing
Brand Development
Brand Building
Business English",between3And6,FALSE,Brane,,,,,Санкт-Петербург,2022-07-05T18:36:40+0300
Content Writer / English Proofreader (Marketing & Analytics),"<p>We are building the creator economy by providing creators and advertisers with the solution they need to grow, monetize and thrive in the digital advertising space.</p> <p>As<strong> Writer &amp; Proofreader</strong>, you will be responsible for the quality of content across all media. .</p> <p>It&#39;s not a 9-5 job. Although we offer flexible schedules, you&#39;ll be working when your teammates are most likely to answer. Expect to work at least 10 hours per week, including some mornings, evenings and an occasional weekend day.</p> <p><strong>What you’ll do:</strong></p> <ul> <li> <p>Write clear marketing copy</p> </li> <li>Ensures that the final copy match approved job along with assessing design elements</li> <li>Performs line-editing and proofreading, checking for formatting consistency, grammatical accuracy, and spelling errors</li> <li>Checks for adherence to style guides and/or brand-specific style guides</li> </ul> <p> </p> <p><strong>What you’ll bring:</strong></p> <ul> <li>Superior knowledge of the English language, including spelling, grammar, and punctuation</li> <li>5+ years of experience as an editor in a collaborative environment reviewing both interactive and print work</li> <li>Advanced knowledge of writing styles</li> <li>The motivation to work on their own, manage changing priorities, and to meet deadlines</li> <li>Excellent interpersonal skills to build working relationships; ability to negotiate delivery times due to competing deadlines</li> </ul> <p> </p> <p><strong>What you’ll get:</strong></p> <ul> <li>Comprehensive compensation package</li> <li>An entrepreneurial environment with room for growth</li> <li>100% remote work</li> </ul>","Editing
Brand Development
Brand Building
Business English",between3And6,FALSE,Brane,,,,,Пермь,2022-07-05T18:36:40+0300
Content Writer / English Proofreader (Marketing & Analytics),"<p>We are building the creator economy by providing creators and advertisers with the solution they need to grow, monetize and thrive in the digital advertising space.</p> <p>As<strong> Writer &amp; Proofreader</strong>, you will be responsible for the quality of content across all media. .</p> <p>It&#39;s not a 9-5 job. Although we offer flexible schedules, you&#39;ll be working when your teammates are most likely to answer. Expect to work at least 10 hours per week, including some mornings, evenings and an occasional weekend day.</p> <p><strong>What you’ll do:</strong></p> <ul> <li> <p>Write clear marketing copy</p> </li> <li>Ensures that the final copy match approved job along with assessing design elements</li> <li>Performs line-editing and proofreading, checking for formatting consistency, grammatical accuracy, and spelling errors</li> <li>Checks for adherence to style guides and/or brand-specific style guides</li> </ul> <p> </p> <p><strong>What you’ll bring:</strong></p> <ul> <li>Superior knowledge of the English language, including spelling, grammar, and punctuation</li> <li>5+ years of experience as an editor in a collaborative environment reviewing both interactive and print work</li> <li>Advanced knowledge of writing styles</li> <li>The motivation to work on their own, manage changing priorities, and to meet deadlines</li> <li>Excellent interpersonal skills to build working relationships; ability to negotiate delivery times due to competing deadlines</li> </ul> <p> </p> <p><strong>What you’ll get:</strong></p> <ul> <li>Comprehensive compensation package</li> <li>An entrepreneurial environment with room for growth</li> <li>100% remote work</li> </ul>","Editing
Brand Development
Brand Building
Business English",between3And6,FALSE,Brane,,,,,Новосибирск,2022-07-05T18:36:40+0300
Системный аналитик (Senior),"<p>Здравствуйте, уважаемые Системные аналитики!</p> <p><em>Резидент СКОЛКОВО, Аккредитованная МинЦифрой РФ - ИТ компания.</em></p> <p><em>В вакансии много текста, но все по делу (старайтесь не откликаться без сопроводительного письма)!</em></p> <ul> <li>В <em><strong>мае 2022 </strong></em>года<em><strong> </strong></em>получили статус партнера <strong>Оператора ФНС</strong> по работе с налогом на профессиональный доход</li> <li>В <em><strong>феврале 2022 </strong></em>года получили статус резидента инновационного центра <strong>Сколково</strong>, вошли в ассоциации АРПП, АПКИТ, получили патент на свою разработку</li> <li>В <strong><em>декабре 2021</em></strong> года готов базовый функционал 3 мобильных приложений, веб сайта, веб портала (личный кабинет аутсорсинговой компании), подали заявки на регистрации программ в Роспатент</li> <li>В <strong><em>июле 2021</em></strong> года существенно расширили функционал и запустили продукт в коммерческую эксплуатацию</li> <li>В <em><strong>январе 2021</strong></em> года запустили пилот, подали заявку на партнерство с ФНС РФ и резидентство в Сколково</li> <li>В <em><strong>октябре 2020</strong></em> получили статус резидента Бизнес-инкубатора Ингрия и запустили альфа версии мобильных приложений и сайта</li> </ul> <p>Обязательно прочитайте информацию о Компании перед тем, как откликаться на данную вакансию, это важно! Проект достаточно сложный и масштабный (и это не просто слова). Создаем Цифрового двойника Аутсорсинговых компаний с использованием Искусственного интеллекта и Машинного обучения (Outsourcing Company Digital Twin - Gartner Hype Cycle for Emergind Technologies 2021, AI&amp;ML). Аналогичных проектов пока нет на российском рынке, но есть на западных. Не считаем себя уникальными, но все факты говорят именно об этом – готовы подробнее рассказать на интервью. С уважением к Вам и вашему времени.</p> <p><strong>Цель</strong><strong> HR-tech </strong><strong>проекта</strong><strong>:</strong></p> <p>В результате COVID-19, многие жители РФ остались без работы и в сложной экономической ситуации, при которой найти нормальную работу и сделать это быстро они не смогут. В крупных городах проблема менее заметна, но в городах менее 1 млн населения и отдаленных районах такая проблема ярко выражена. Для нас крайне важно оказать реальную поддержку населению страны, оказавшимся без работы и нуждающихся в деньгах.</p> <p>Мы разрабатываем цифровую аутсорсинг платформу по трудоустройству линейного персонала («синие воротнички», не путать с белыми!), которая позволит по-новому взглянуть на процессы взаимодействия корпоративных клиентов и исполнителей. Сервис поможет бизнесу найти исполнителя, а человеку – любимую работу и компанию мечты. Диджитализация, уберизация и создание уникальных конкурентных преимуществ на рынке – вот три основные задачи, которые решает команда на пути реализации проекта, реализуемого за 3 фазы.</p> <p><strong>На какой мы стадии</strong></p> <ul> <li><em><strong>--&gt; Расширяем функционал продукта, подключаем коммерческих клиентов &lt;--</strong></em></li> <li>Собрана команда, открыто финансирование по проекту</li> <li>Разработан дизайн проект, UI-кит и дизайн система</li> <li>58ый спринт ИТ разработки (2х недельные спринты)</li> <li><em><strong>Разработаны мобильные приложения для iOS, Android, Huawei</strong></em></li> <li><em><strong>Разработан web сайт и консоль администратора</strong></em></li> <li>Развернули кластерную инфраструктуру и заставили работать 12 приложений и 26 микросервисов как единое целое</li> <li><em><strong>Пережили 2 года: не развалились, не закрылись, не разорились, перенесли pivot, не выгорели, а в 2021 году увеличили штат почти в 4 раза</strong></em></li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li>3 дня в офисе, 2 дня удаленно</li> <li>Команда, нацеленная на общий результат и интересные задачи по ходу превращения проекта в MVP, а затем в полноценный продукт</li> <li>Руководители, которые работают с Вами как с партнерами, могут передать опыт и помочь, а не просто ставить Вам задачи и контролировать их исполнение</li> <li>Готовность к открытому диалогу с целью индивидуального обсуждения с каждым кандидатом зарплатных ожиданий и условий работы</li> <li>Офис класса В+ в престижном районе Москве с панорамными окнами (команды: дизайнеры, аналитики, тестировщики маркетинг, продажи, операционисты)</li> <li>Производительный <strong>Ультрабук Asus 2021 года </strong>для комфортной работы</li> <li>На 100% честное трудоустройство, никаких задержек выплат з/п, регулярная индексация (не менее 2х раз в год) и бонусы</li> <li>Дух стартапа и стабильность крупной компании</li> </ul> <p><strong>Ожидания от Системного аналитика:</strong></p> <ul> <li> <p>Опыт работы на позиции системного аналитика в сфере IT от 3 лет;</p> </li> <li> <p>Хорошее знание принципов разработки программного обеспечения (проектирование, планирование, разработка, тестирование, доработки);</p> </li> <li> <p>Навыки работы с документацией, как продуктовой, так и технической. Понимание документации API;</p> </li> <li> <p>Опыт работы в проектах с микросервисной архитектурой;</p> </li> <li> <p>Понимание синхронного и асинхронного взаимодействия микросервисов (общие знания про http и любой брокер сообщений);</p> </li> <li> <p>Умение писать запросы на SQL (понимание и умение выборки из связей многие ко многим будет плюсом);</p> </li> <li> <p>Знание нотации BPMN, UML и опыт описания REST API;</p> </li> <li> <p>Умение писать запросы к MongoDB будет плюсом.</p> </li> </ul> <p><strong>Основные задачи Системного аналитика:</strong></p> <ul> <li> <p>Проработка сценариев взаимодействия сервисов при реализации бизнес-функциональности;</p> </li> <li> <p>Погружение и проработка бизнес-процессов;</p> </li> <li> <p>Сбор и формирование требований к системе;</p> </li> <li> <p>Формирование вариантов возможной технической реализации решения;</p> </li> <li> <p>Разработка и согласование функциональных и технических спецификаций;</p> </li> <li> <p>Коммуникации с разработчиками для эффективной реализации задач;</p> </li> <li> <p>Управление релизом ПО.</p> </li> </ul> <p><strong>Обратная связь</strong></p> <p>Мы ценим время друг друга и оперативно даем обратную связь КАЖДОМУ участнику, который откликнется на вакансию. Финальное решение будет после двух собеседований (15 минут + 45 минут)</p> <p><strong>Отклики с сопроводительным письмом (почему Вам было бы интересно присоединиться к проекту и команде) и указанием зарплатных ожиданий будут для нас крайне важны и приоритетны</strong></p>","UML
SQL
MongoDB
BPMN",between3And6,TRUE,Прoект,,,,,Москва,2022-07-13T11:03:58+0300
